title,filmtype,director,rating,duration,year,genre
11:14,Movie,Greg Marcks,7.2,86,2003,Crime
42,Movie,Brian Helgeland,7.5,128,2013,Biography 
300,Movie,Zack Snyder,7.7,117,2006,Action 
360,Movie,Fernando Meirelles,5.9,110,2011,Drama 
1408,Movie,Mikael Håfström,6.7,104,2007,Horror 
1900,Movie,Bernardo Bertolucci,7.6,317,976,Drama 
1911,Movie,Li Zhang & Jackie Chan,5.8,121,2011,Action 
1984,Movie,Michael Anderson,6.9,90,1956,Drama/Sci-Fi
2012,Movie,Roland Emmerich,5.7,158,2009,Sci-Fi
45365,Documentary,Bill Ross IV & Turner Ross,6.9,90,2009,Documentary 
(500) Days of Summer,Movie,Marc Webb,7.8,95,2009,Comedy
*batteries not included,Movie,Matthew Robbins,6.3,106,1987,Drama/Sci-Fi 
¡Cuatro!,Documentary,Tim Wheeler,8.4,75,2012,Documentary
10 Days Out: Blues from the Backroads,Documentary,Noble Lincoln Jones,8,106,2007,Documentary
100 Cameras,Documentary,Lars von Trier,3.6,15,2000,Documentary 
100 Feet,Movie,Eric Red,5.5,96,2008,Horror/Thriller
100 Greatest Artists of All Time,TV-S,N/A,6.6,300,2010,Music 
102 Minutes That Changed America,TV-M,Nicole Rittenmeyer & Seth Skundrick,8.2,102,2008,Documentary/History
12 Angry Men,Movie,Sidney Lumet,8.9,96,1957,Drama
12 Years a Slave,Movie,Steve McQueen,8.3,134,2013,Biography/Drama/History
127 Hours,Movie,Danny Boyle,7.7,94,2010,Drama/Thriller
13 Ghosts,Movie,William Castle,6,85,1960,Horror 
13 Going on 30,Movie,Gary Winick,6,98,2004,Comedy/Fantasy/Romance
17 Again,Movie,Burr Steers,6.3,102,2009,Comedy/Drama/Romance
2 Days in the Valley,Movie,John Herzfeld,6.4,104,1996,Comedy/Crime
2 or 3 Things I Know About Her,Movie,Jean-Luc Godard,6.8,87,1967,Comedy/Drama 
20 Centimeters,Movie,Ramon Salazar,6.7,112,2005,Comedy/Musical
20 Feet From Stardom,Documentary,Morgan Neville,7.8,91,2013,Documentary/Music
2001: A Space Odyssey,Movie,Stanley Kubrick,8.3,160,1968,Adventure/Mystery/Sci-Fi
2010: The Year We Make Contact,Movie,Peter Hyams,6.8,116,1984,Sci-Fi
21 Grams,Movie,Alejandro G,7.7,124,2003,Crime
21 Jump Street,Movie,Phil Lord & Christopher Miller,7.2,109,2012,Action/Comedy/Crime
25th Hour,Movie,Spike Lee,7.7,135,2002,Crime/Drama 
28 Days Later…,Movie,Danny Boyle,7.6,113,2002,Horror/Sci-Fi/Thriller
3 Hommes Et Un Couffin,Movie,Coline Serreau,6.4,106,1985,Comedy
3 Women,Movie,Robert Altman,7.9,124,1977,Drama
3:10 to Yuma,Movie,James Mangold,7.7,122,2007,Adventure/Crime/Drama/Western
30 Days of Night,Movie,David Slade,6.5,113,2007,Horror/Thriller
35 Shots of Rum,Movie,Claire Denis,6.9,100,2008,Drama
4 Little Girls,Documentary,Spike Lee,7.7,102,1997,Documentary/History
4 Months 3 Weeks and 2 Days,Movie,Cristian Mungiu,7.9,113,2007,Drama
42nd Street,Movie,Lloyd Bacon,7.6,89,1933,Comedy/Musical/Romance
47 Ronin,Movie,Carl Rinsch,6.7,118,2013,Action/Adventure/Fantasy
49 Up,Documentary,Paul Almond & Michael Apted,7.7,180,2005,Documentary/Biography 
5 Centimeters Per Second,Movie,Makoto Shinkai,7.9,63,2007,Animation/Drama/Romance
50 First Dates,Movie,Peter Segal,6.7,99,2004,Comedy/Romance
56 Up,Documentary,Michael Apted,7.8,144,2012,Documentary
61*,TV-M,Billy Crystal,7.7,129,2001,Biography/Drama/History/Sport
6ixtynin9 (Ruang talok 69),Movie,Pen-Ek Ratanaruang,7.2,118,1999,Comedy/Crime/Thriller
8 Mile,Movie,Curtis Hanson,6.8,110,2002,Drama/Music
8 Women,Movie,François Ozon,7,111,2002,Musical/Comedy/Crime/Mystery
8½,Movie,Federico Fellini,8.1,138,1963,Drama/Fantasy
9/11: Ten Years Later,Documentary,James Hanlon,7.9,60,2011,Documentary
